image,angle
20250614_174929_270643.png,0
20250614_174929_782981.png,0
20250614_174930_289551.png,0
20250614_174930_805250.png,0
20250614_174931_315145.png,0
20250614_174931_819403.png,0
20250614_174932_333969.png,0
20250614_174932_845606.png,0
20250614_174933_346472.png,0
20250614_174933_858187.png,0
20250614_174934_374681.png,0
20250614_174934_885073.png,0
20250614_174935_392974.png,0
20250614_174935_894081.png,0
20250614_174936_403065.png,0
20250614_174936_915595.png,0
20250614_174937_426338.png,0
20250614_174937_937540.png,0
20250614_174938_449853.png,0
20250614_174938_950738.png,0
20250614_174939_455036.png,0
20250614_174939_959330.png,0
20250614_174940_469079.png,0
20250614_174940_973081.png,0
20250614_174941_482867.png,0
20250614_174941_990852.png,0
20250614_174942_497813.png,0
20250614_174943_003802.png,0
20250614_174943_514662.png,0
20250614_174944_026882.png,0
20250614_174944_529022.png,0
20250614_174945_035956.png,0
20250614_174945_547890.png,0
20250614_174946_054932.png,0
20250614_174946_559700.png,0
20250614_174947_081699.png,0
20250614_174947_587730.png,0
20250614_174948_093145.png,0
20250614_174948_598400.png,0
20250614_174949_111055.png,0
20250614_174949_625877.png,0
20250614_174950_129822.png,0
20250614_174950_642023.png,0
20250614_174951_156881.png,0
20250614_174951_663042.png,0
20250614_174952_166066.png,0
20250614_174952_676893.png,0
20250614_174953_183419.png,0
20250614_174953_684119.png,0
20250614_174954_190669.png,0
20250614_174954_701029.png,0
20250614_174955_201147.png,0
20250614_174955_731473.png,0
20250614_174956_235897.png,0
20250614_174956_739707.png,0
20250614_174957_241622.png,0
20250614_174957_748999.png,0
20250614_174958_258687.png,0
20250614_174958_765843.png,0
20250614_174959_284565.png,0
20250614_174959_793072.png,0
20250614_175000_299648.png,0
20250614_175000_811837.png,0
20250614_175001_326095.png,0
20250614_175001_833710.png,0
20250614_175002_339706.png,0
20250614_175002_845865.png,0
20250614_175003_349048.png,0
20250614_175003_855824.png,0
20250614_175004_378118.png,0
20250614_175004_895974.png,0
20250614_175005_415198.png,0
20250614_175005_930136.png,0
20250614_175006_446197.png,0
20250614_175006_956278.png,0
20250614_175007_458544.png,0
20250614_175007_962944.png,0
20250614_175008_477278.png,0
20250614_175008_978037.png,0
20250614_175009_479860.png,0
20250614_175009_981193.png,0
20250614_175010_498120.png,0
20250614_175011_006529.png,0
20250614_175011_516561.png,0
20250614_175012_045537.png,0
20250614_175012_564627.png,0
20250614_175013_072057.png,0
20250614_175013_594224.png,0
20250614_175014_105888.png,-0.06
20250614_175014_612176.png,-0.06
20250614_175015_113034.png,0.02
20250614_175015_630963.png,0.02
20250614_175016_133014.png,0.02
20250614_175016_644945.png,0
20250614_175017_158957.png,-0.08
20250614_175017_663170.png,-0.08
20250614_175018_177168.png,0.02
20250614_175018_686884.png,0.02
20250614_175019_197149.png,0.02
20250614_175019_709671.png,0.02
20250614_175020_211181.png,-0.08
20250614_175020_738452.png,-0.08
20250614_175021_244875.png,-0.08
20250614_175021_746105.png,-0.08
20250614_175022_247201.png,-0.08
20250614_175022_762662.png,-0.08
20250614_175023_270808.png,-0.06
20250614_175023_785783.png,0.04
20250614_175024_289176.png,0.04
20250614_175024_803142.png,-0.06
20250614_175025_306707.png,-0.06
20250614_175025_810725.png,-0.06
20250614_175026_321960.png,-0.16
20250614_175026_823129.png,-0.08
20250614_175027_326020.png,-0.06
20250614_175027_841056.png,-0.06
20250614_175028_351068.png,-0.06
20250614_175028_856501.png,-0.06
20250614_175029_362137.png,-0.06
20250614_175029_864247.png,-0.06
20250614_175030_378102.png,-0.06
20250614_175030_890902.png,-0.06
20250614_175031_393822.png,-0.06
20250614_175031_897435.png,-0.06
20250614_175032_415410.png,-0.06
20250614_175032_926788.png,-0.06
20250614_175033_427761.png,-0.06
20250614_175033_941800.png,-0.06
20250614_175034_449881.png,-0.06
20250614_175034_972504.png,-0.06
20250614_175035_487015.png,-0.06
20250614_175035_996274.png,-0.06
20250614_175036_520130.png,-0.06
20250614_175037_027495.png,0.04
20250614_175037_543882.png,-0.06
20250614_175038_055125.png,0.06
20250614_175038_559230.png,0.06
20250614_175039_069415.png,0.06
20250614_175039_582051.png,-0.04
20250614_175040_087120.png,-0.16
20250614_175040_594020.png,-0.06
20250614_175041_104023.png,0.18
20250614_175041_606914.png,0.06
20250614_175042_114807.png,-0.02
20250614_175042_629337.png,-0.14
20250614_175043_146865.png,-0.06
20250614_175043_657223.png,0.06
20250614_175044_159142.png,-0.02
20250614_175044_675903.png,-0.02
20250614_175045_178012.png,-0.02
20250614_175045_684046.png,-0.02
20250614_175046_195391.png,-0.02
20250614_175046_707982.png,-0.02
20250614_175047_208037.png,0.12
20250614_175047_716733.png,0.12
20250614_175048_249760.png,0.02
20250614_175048_750817.png,0.02
20250614_175049_258320.png,-0.06
20250614_175049_760148.png,-0.06
20250614_175050_265676.png,-0.06
20250614_175050_777340.png,-0.02
20250614_175051_280736.png,-0.02
20250614_175051_788101.png,-0.02
20250614_175052_317028.png,0.04
20250614_175052_825879.png,0.04
20250614_175053_326430.png,-0.02
20250614_175053_830769.png,0.08
20250614_175054_337976.png,0
20250614_175054_843879.png,-0.04
20250614_175055_356056.png,-0.04
20250614_175055_865980.png,-0.04
20250614_175056_381081.png,-0.02
20250614_175056_885420.png,0.06
20250614_175057_393792.png,-0.02
20250614_175057_909973.png,-0.02
20250614_175058_419550.png,0.12
20250614_175058_921814.png,0
20250614_175059_424152.png,0
20250614_175059_929637.png,-0.08
20250614_175100_444096.png,-0.02
20250614_175100_961090.png,-0.02
20250614_175101_468289.png,-0.02
20250614_175101_987963.png,0.02
20250614_175102_491874.png,0.02
20250614_175103_004806.png,0.02
20250614_175103_522935.png,0.02
20250614_175104_045095.png,0.02
20250614_175104_556173.png,0.02
20250614_175105_060119.png,0.02
20250614_175105_561194.png,0.02
20250614_175106_062837.png,0.02
20250614_175106_580809.png,0.02
20250614_175107_097329.png,0.02
20250614_175107_607338.png,0.02
20250614_175108_115302.png,0.02
20250614_175108_627831.png,0.02
20250614_175109_136282.png,0.02
20250614_175109_654194.png,0.02
20250614_175110_158026.png,0.02
20250614_175110_671039.png,-0.1
20250614_175111_175844.png,-0.2
20250614_175111_678545.png,-0.12
20250614_175112_179178.png,-0.1
20250614_175112_679289.png,0.12
20250614_175113_191938.png,-0.02
20250614_175113_708924.png,-0.12
20250614_175114_219278.png,0.02
20250614_175114_726751.png,0.02
20250614_175115_227229.png,0.1
20250614_175115_732406.png,0.02
20250614_175116_248209.png,0.02
20250614_175116_758223.png,-0.08
20250614_175117_259868.png,-0.02
20250614_175117_765526.png,0.02
20250614_175118_273351.png,0.04
20250614_175118_776524.png,-0.04
20250614_175119_291029.png,0.06
20250614_175119_821010.png,0.04
20250614_175120_328000.png,0.02
20250614_175120_838987.png,0.02
20250614_175121_357073.png,-0.02
20250614_175121_862702.png,-0.02
20250614_175122_369621.png,-0.02
20250614_175122_881852.png,-0.02
20250614_175123_382215.png,-0.02
20250614_175123_883932.png,-0.02
20250614_175124_410961.png,0.06
20250614_175124_926446.png,0
20250614_175125_444219.png,0
20250614_175125_949118.png,0
20250614_175126_449461.png,0
20250614_175126_951093.png,0
20250614_175127_456206.png,0
20250614_175127_959845.png,0
20250614_175128_465888.png,0
20250614_175128_974958.png,0
20250614_175129_475307.png,0
20250614_175129_995920.png,0
20250614_175130_510720.png,0
20250614_175131_013204.png,0
20250614_175131_529649.png,0
20250614_175132_042071.png,0
20250614_175132_553996.png,0
20250614_175133_057892.png,0
20250614_175133_558966.png,0
20250614_175134_076346.png,0
20250614_175134_600941.png,0
20250614_175135_113128.png,0
20250614_175135_623239.png,0
20250614_175136_129651.png,0
20250614_175136_634160.png,0
20250614_175137_139256.png,0
20250614_175137_640085.png,0
20250614_175138_142786.png,0
20250614_175138_651002.png,0
20250614_175139_165555.png,0
20250614_175139_679484.png,0
20250614_175140_196173.png,0
20250614_175140_702865.png,0
20250614_175141_204931.png,0
20250614_175141_726566.png,0
20250614_175142_232949.png,0
20250614_175142_748370.png,0
20250614_175143_256980.png,0
20250614_175143_764828.png,0
20250614_175144_274177.png,0
20250614_175144_779342.png,0
20250614_175145_286868.png,0
20250614_175145_795094.png,0
20250614_175146_304218.png,0
20250614_175146_821024.png,0
20250614_175147_328987.png,0
20250614_175147_836179.png,-0.12
20250614_175148_337389.png,-0.12
20250614_175148_839758.png,-0.12
20250614_175149_344960.png,-0.12
20250614_175149_846752.png,-0.06
20250614_175150_367250.png,-0.06
20250614_175150_885298.png,0.04
20250614_175151_389118.png,0.04
20250614_175151_904201.png,0.04
20250614_175152_407074.png,-0.04
